road_type,hour_of_day,day_of_week,weather,traffic_density,speed_limit,has_signal,num_lanes,accident_risk
residential,8,1,clear,0.79,20,0,2,0.316
lane,16,6,fog,0.81,80,0,4,0.66
highway,16,4,clear,0.7,40,1,1,0.323
residential,19,2,clear,0.33,80,0,4,0.393
residential,15,5,clear,0.92,40,0,4,0.347
lane,21,1,clear,0.7,40,1,1,0.174
highway,12,4,rain,0.6,60,1,4,0.655
highway,18,1,clear,0.2,40,0,4,0.313
residential,16,3,fog,0.5,40,1,1,0.417
main_road,3,0,clear,0.51,30,1,4,0.426
residential,11,5,clear,0.88,20,1,2,0.18
residential,8,1,rain,0.59,60,0,4,0.558
residential,18,0,rain,0.44,60,0,2,0.595
residential,11,4,clear,0.98,60,0,4,0.378
lane,8,0,clear,0.2,30,1,1,0.107
highway,6,5,clear,0.48,40,0,1,0.399
lane,13,1,rain,0.14,20,1,4,0.252
lane,19,3,rain,0.77,80,0,1,0.633
lane,18,6,clear,0.93,40,0,4,0.289
residential,14,4,fog,0.35,30,1,1,0.438
main_road,15,1,fog,0.87,40,0,2,0.633
highway,20,5,rain,0.36,40,1,4,0.495
main_road,4,4,fog,0.92,30,0,2,0.831
lane,2,2,clear,0.78,60,0,2,0.56
lane,11,0,clear,0.82,60,1,4,0.25
main_road,19,6,clear,0.12,20,1,2,0.149
main_road,20,5,clear,0.97,20,1,4,0.244
main_road,3,2,rain,0.75,60,0,2,0.9
lane,20,1,fog,0.37,80,0,4,0.637
lane,22,3,clear,0.85,40,0,4,0.456
highway,15,4,clear,0.35,80,1,1,0.415
highway,6,0,clear,0.89,40,1,4,0.375
lane,12,4,fog,0.2,60,1,4,0.435
main_road,20,6,clear,0.73,20,0,2,0.312
main_road,9,1,rain,0.59,20,0,4,0.485
highway,6,4,clear,0.19,80,1,1,0.372
lane,13,0,clear,0.32,20,0,2,0.115
highway,4,1,fog,0.11,60,1,2,0.733
highway,2,4,fog,0.52,80,0,1,0.896
residential,22,3,clear,0.37,40,0,2,0.388
residential,10,5,fog,0.64,20,1,2,0.408
residential,10,1,rain,0.37,30,0,2,0.444
main_road,17,5,fog,0.37,20,0,2,0.528
lane,14,1,clear,0.77,40,1,1,0.168
lane,11,3,rain,0.14,80,1,1,0.405
lane,8,5,clear,0.91,40,0,2,0.339
lane,9,2,rain,0.87,30,1,2,0.399
residential,11,0,clear,0.7,60,0,1,0.416
main_road,16,2,clear,0.63,20,1,1,0.208
main_road,5,4,clear,0.9,80,0,1,0.692
residential,6,3,rain,0.27,60,0,2,0.537
main_road,13,2,clear,0.17,40,1,2,0.174
residential,12,1,rain,0.32,80,0,4,0.657
lane,7,4,fog,0.82,60,0,1,0.664
residential,9,4,clear,0.13,80,1,2,0.301
lane,8,2,rain,0.62,30,1,1,0.32
lane,17,2,clear,1.0,30,0,2,0.315
highway,1,3,fog,0.87,20,1,1,0.732
residential,4,0,clear,0.57,20,1,2,0.249
highway,4,2,rain,0.16,30,0,4,0.886
residential,5,6,fog,0.85,80,0,4,0.808
residential,18,2,fog,0.64,30,1,1,0.468
highway,7,5,rain,0.2,20,1,2,0.451
highway,15,1,clear,0.18,30,1,2,0.216
residential,12,6,rain,0.92,30,0,1,0.526
main_road,0,6,fog,0.7,80,0,2,0.932
lane,21,5,rain,0.85,60,0,1,0.639
highway,19,5,clear,0.89,20,0,2,0.385
lane,16,4,fog,0.61,80,0,1,0.61
main_road,6,0,rain,0.57,30,0,2,0.512
main_road,12,1,rain,0.49,30,0,1,0.455
main_road,3,3,clear,0.39,60,1,2,0.482
highway,3,6,rain,0.49,20,1,4,0.715
main_road,5,3,clear,0.8,20,0,2,0.474
highway,18,2,rain,0.64,40,0,1,0.657
main_road,11,2,clear,0.9,20,0,4,0.332
lane,21,3,rain,0.5,60,1,2,0.443
lane,6,2,fog,0.65,40,0,4,0.481
residential,9,0,clear,0.67,40,1,2,0.264
lane,18,5,fog,0.63,30,1,4,0.402
residential,6,2,clear,0.73,30,1,1,0.2
lane,2,4,fog,0.31,20,1,2,0.464
highway,12,2,rain,0.56,40,1,2,0.458
lane,12,1,rain,0.19,30,0,1,0.377
residential,17,0,rain,0.45,60,0,4,0.549
residential,19,1,fog,0.54,30,1,1,0.374
main_road,7,1,clear,0.69,30,0,1,0.32
highway,8,4,clear,0.96,40,1,4,0.364
lane,6,0,rain,0.64,40,1,1,0.347
main_road,0,0,fog,0.77,80,0,2,0.819
lane,2,0,rain,0.56,60,0,2,0.715
lane,12,0,rain,0.67,40,0,2,0.47
main_road,16,0,clear,0.16,20,0,1,0.146
main_road,23,4,fog,0.33,60,0,2,0.872
main_road,0,2,clear,0.43,60,1,2,0.502
main_road,5,1,rain,0.53,40,0,2,0.691
main_road,20,0,clear,0.14,60,0,2,0.325
lane,5,6,clear,0.23,40,0,2,0.376
main_road,11,2,clear,0.35,30,1,2,0.204
highway,12,2,clear,0.97,80,0,1,0.617
residential,12,1,rain,0.4,30,1,2,0.32
main_road,14,4,clear,0.53,40,0,2,0.398
main_road,20,3,clear,0.28,40,0,4,0.298
lane,15,3,clear,0.65,30,1,1,0.168
main_road,21,2,clear,0.35,20,0,1,0.233
main_road,20,5,clear,0.29,20,0,1,0.362
main_road,10,5,clear,0.56,20,1,1,0.224
lane,4,1,rain,0.1,40,0,2,0.655
main_road,3,3,rain,0.11,60,1,2,0.637
residential,2,2,rain,0.3,40,1,4,0.498
lane,18,4,clear,0.13,60,1,4,0.19
residential,19,3,clear,0.2,30,1,1,0.16
lane,17,2,fog,0.4,80,1,4,0.525
main_road,14,2,rain,0.82,60,0,4,0.686
residential,8,0,clear,0.61,20,0,1,0.284
lane,16,4,clear,0.56,40,0,1,0.219
highway,13,0,clear,0.36,30,1,4,0.205
main_road,14,1,clear,0.94,20,1,2,0.222
lane,0,0,clear,0.46,30,1,4,0.268
highway,20,6,rain,0.18,80,1,4,0.568
lane,21,0,rain,0.66,40,0,2,0.435
highway,21,6,rain,0.2,40,0,2,0.586
main_road,2,3,rain,0.41,80,1,1,0.723
residential,15,5,fog,0.56,40,1,1,0.466
highway,22,2,rain,0.89,60,0,4,1.0
lane,10,6,fog,0.54,30,1,2,0.36
main_road,11,4,clear,0.73,20,1,1,0.188
highway,9,0,clear,0.99,80,1,4,0.536
lane,15,6,clear,0.22,60,0,2,0.242
lane,7,4,rain,0.35,20,0,4,0.373
lane,5,5,fog,0.46,20,1,1,0.548
highway,11,5,clear,0.48,80,0,1,0.509
highway,23,0,fog,0.47,60,1,2,0.796
highway,20,1,clear,0.92,20,1,4,0.323
residential,7,0,fog,0.74,20,0,2,0.536
highway,3,3,clear,0.65,60,1,1,0.552
highway,7,6,clear,0.38,40,1,1,0.278
highway,17,2,clear,0.84,20,0,4,0.39
residential,4,1,clear,0.96,30,1,4,0.366
highway,8,0,clear,0.84,60,1,4,0.415
lane,3,4,clear,0.1,20,1,2,0.154
highway,21,1,fog,0.67,80,0,4,0.841
lane,16,6,rain,0.15,30,1,4,0.198
lane,8,1,clear,0.33,20,0,1,0.181
lane,0,6,rain,0.15,30,1,1,0.43
residential,20,0,rain,0.64,30,1,4,0.4
residential,19,6,clear,0.72,40,1,4,0.274
residential,12,1,clear,0.2,30,1,1,0.112
highway,15,4,clear,0.45,40,0,4,0.403
lane,12,5,clear,0.51,60,0,2,0.245
residential,13,1,rain,0.43,40,1,2,0.373
residential,2,6,clear,0.21,80,1,2,0.466
highway,5,5,rain,0.48,20,1,4,0.681
residential,17,6,rain,0.78,60,1,1,0.511
highway,18,4,clear,0.16,60,1,4,0.284
main_road,4,6,rain,0.17,80,1,4,0.671
residential,14,0,clear,0.42,40,1,1,0.163
main_road,1,2,fog,0.95,20,1,1,0.605
highway,9,1,clear,0.7,40,0,1,0.445
lane,23,2,fog,0.71,30,0,2,0.648
residential,17,6,rain,0.43,40,0,4,0.514
highway,12,4,clear,0.63,60,1,1,0.414
lane,4,1,rain,0.11,20,1,4,0.428
lane,22,6,fog,0.67,40,1,2,0.581
main_road,23,5,rain,0.92,20,0,2,0.751
highway,0,3,fog,0.65,20,1,1,0.621
lane,21,6,fog,0.89,30,0,1,0.564
residential,0,2,clear,0.75,30,1,4,0.375
residential,17,1,clear,0.21,60,0,1,0.328
main_road,14,2,rain,0.91,80,0,4,0.754
lane,16,1,clear,0.16,20,0,1,0.098
highway,10,6,fog,0.58,80,1,4,0.639
residential,20,0,fog,0.23,60,0,4,0.64
lane,21,5,clear,0.11,20,1,4,0.022
lane,16,6,clear,0.48,20,1,4,0.077
main_road,12,2,rain,0.37,80,1,2,0.511
residential,0,3,clear,0.54,40,1,4,0.297
residential,1,3,fog,0.62,30,1,1,0.583
highway,8,4,clear,0.14,40,0,2,0.332
residential,2,1,rain,0.21,80,1,2,0.632
highway,0,2,clear,0.6,30,1,4,0.437
residential,20,4,rain,0.41,40,1,2,0.486
main_road,15,2,clear,0.76,30,1,4,0.244
residential,22,1,rain,0.69,20,1,1,0.579
highway,5,6,clear,0.86,40,0,4,0.67
highway,16,6,rain,0.72,30,0,2,0.632
main_road,4,3,fog,0.49,30,1,1,0.608
residential,4,6,clear,0.71,30,0,4,0.396
residential,5,6,clear,0.35,40,0,1,0.447
main_road,2,0,clear,0.38,60,1,1,0.485
residential,20,3,rain,0.81,40,0,2,0.616
residential,22,4,rain,0.5,80,1,1,0.637
highway,4,5,rain,0.82,40,0,2,0.938
residential,20,0,clear,0.84,30,0,1,0.282
residential,4,4,clear,0.87,20,0,4,0.418
main_road,9,1,rain,0.92,40,1,1,0.54
main_road,9,0,clear,0.49,40,0,4,0.321
lane,18,4,fog,0.39,30,0,4,0.419
highway,16,1,clear,0.62,20,1,1,0.287
residential,20,3,rain,0.43,20,1,4,0.345
residential,13,5,clear,0.64,80,0,1,0.46
lane,8,1,clear,0.74,40,1,1,0.16
residential,13,6,rain,0.72,20,0,4,0.522
highway,0,2,rain,0.44,20,0,4,0.829
lane,18,1,fog,0.25,60,1,2,0.52
highway,12,1,clear,0.49,60,1,4,0.367
lane,12,5,clear,0.23,20,1,2,0.0
lane,3,2,rain,0.9,80,0,4,0.69
main_road,0,6,rain,0.41,20,1,1,0.549
highway,16,4,clear,0.24,30,0,4,0.382
residential,7,4,clear,0.12,40,1,1,0.112
residential,1,1,clear,0.68,80,0,1,0.686
highway,7,2,fog,0.67,30,1,1,0.611
residential,6,2,clear,0.41,80,0,2,0.42
residential,1,6,clear,0.16,30,1,4,0.289
highway,21,5,clear,0.47,40,0,1,0.431
lane,21,3,clear,0.38,40,1,1,0.208
highway,2,4,clear,0.71,60,1,2,0.571
lane,17,5,rain,0.65,30,0,4,0.449
